Mission,Sat. ver.,COSPAR ID,Deployed sats
Group 8-7,v2 mini,2024-091,20
Group 6-59,v2 mini,2024-093,23
Group 6-62,v2 mini,2024-097,23
Group 6-63,v2 mini,2024-098,23
Group 6-60,v2 mini,2024-100,23
Group 6-64,v2 mini,2024-106,23
Group 8-5,v2 mini,2024-107,20
Group 10-1,v2 mini,2024-111,22
Group 8-8,v2 mini,2024-112,20
Group 9-1,v2 mini,2024-113,20
Group 10-2,v2 mini,2024-117,22
Group 9-2,v2 mini,2024-118,20
Group 10-3,v2 mini,2024-120,23
Group 8-9,v2 mini,2024-124,20
Group 9-3,v2 mini,2024-129,20
Group 10-9,v2 mini,2024-131,23
Group 10-4,v2 mini,2024-132,23
Group 9-4,v2 mini,2024-133,21
Group 10-6,v2 mini,2024-136,23
Group 11-1,v2 mini,2024-138,23
Group 8-3,v2 mini,2024-141,21
Group 10-7,v2 mini,2024-144,23
Group 10-5,v2 mini,2024-150,22
Group 8-6,v2 mini,2024-152,21
Group 8-10,v2 mini,2024-154,21
Group 9-5,v2 mini,2024-155,21
Group 8-11,v2 mini,2024-158,21
Group 9-6,v2 mini,2024-164,21
Group 9-17,v2 mini,2024-171,20
Group 9-8,v2 mini,2024-175,20
Group 10-10,v2 mini,2024-183,23
Group 9-7,v2 mini,2024-184,20
Group 8-19,v2 mini,2024-187,20
Group 6-61,v2 mini,2024-191,23
Group 10-8,v2 mini,2024-193,22
Group 9-9,v2 mini,2024-195,20
Group 10-13,v2 mini,2024-196,23
Group 6-77,v2 mini,2024-202,23
Group 9-10,v2 mini,2024-204,20
Group 6-69,v2 mini,2024-207,24
Group 9-11,v2 mini,2024-209,20
Group 6-68,v2 mini,2024-210,24
Group 9-12,v2 mini,2024-213,20
Group 6-66,v2 mini,2024-216,24
Group 9-13,v2 mini,2024-217,20
Group 12-1,v2 mini,2024-220,23
Group 6-76,v2 mini,2024-222,24
Group 6-65,v2 mini,2024-224,24
Group N-01,v2 mini,2024-225,20
Group 6-70,v2 mini,2024-229,24
Group 9-14,v2 mini,2024-231,20
Group 12-5,v2 mini,2024-237,23
Group 11-2,v2 mini,2024-239,22
Group 12-2,v2 mini,2024-249,21
Group 11-3,v2 mini,2024-251,22
Group 12-6,v2 mini,2024-254,21
Group 6-71,v2 mini,2025-003,24
Group 12-11,v2 mini,2025-004,21
Group 12-12,v2 mini,2025-006,21
Group 12-4,v2 mini,2025-008,21
Group 13-1,v2 mini,2025-014,21
Group 11-8,v2 mini,2025-015,27
Group 11-6,v2 mini,2025-018,23
Group 12-7,v2 mini,2025-019,21
Group 11-4,v2 mini,2025-022,22
Group 12-3,v2 mini,2025-024,21
Group 12-9,v2 mini,2025-027,21
Group 11-10,v2 mini,2025-029,23
Group 12-18,v2 mini,2025-031,21
Group 12-8,v2 mini,2025-032,21
Group 10-12,v2 mini,2025-034,23
Group 12-14,v2 mini,2025-035,23
Group 15-1,v2 mini,2025-037,22
Group 12-13,v2 mini,2025-039,21
Group 12-20,v2 mini,2025-043,21
Group 12-21,v2 mini,2025-048,21
Group 12-16,v2 mini,2025-053,23
Group 12-25,v2 mini,2025-057,23
Group 11-7,v2 mini,2025-063,27
Group 6-80,v2 mini,2025-065,28
Group 11-13,v2 mini,2025-069,27
Group 6-72,v2 mini,2025-070,28
Group 11-11,v2 mini,2025-071,27
Group 12-17,v2 mini,2025-075,21
Group 6-73,v2 mini,2025-076,27
Group 6-74,v2 mini,2025-083,28
Group 12-23,v2 mini,2025-085,23
Group 11-9,v2 mini,2025-087,27
